Date;Zone;Consommation_totale;Consommation_industrielle_(hors_SFM);Consommation_distribution_publique;Consommation_SFM;Consommation_PIRR;Prevision_realisee_en_J-5_prevision_totale_GRTgaz;Prevision_realisee_en_J-4_prevision_totale_GRTgaz;Prevision_realisee_en_J-3_prevision_totale_GRTgaz;Prevision_realisee_en_J-2_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_avant_17h_prevision_totale_GRTgaz;Prevision_realisee_en_J_avant_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J_apres_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J-5_indus_hors_SFM;Prevision_realisee_en_J-4_indus_hors_SFM;Prevision_realisee_en_J-3_indus_hors_SFM;Prevision_realisee_en_J-2_indus_hors_SFM;Prevision_realisee_en_J-1_avant_17h_indus_hors_SFM;Prevision_realisee_en_J-1_apres_17h_indus_hors_SFM;Prevision_realisee_en_J_avant_15h_indus_hors_SFM;Prevision_realisee_en_J_apres_15h_indus_hors_SFM;Prevision_realisee_en_J-5_distribution_publique;Prevision_realisee_en_J-4_distribution_publique;Prevision_realisee_en_J-3_distribution_publique;Prevision_realisee_en_J-2_distribution_publique; Prevision_realisee_en_J-1_avant_17h_distribution_publique;Prevision_realisee_en_J-1_apres_17h_distribution_publique;Prevision_realisee_en_J_avant_15h_distribution_publique;Prevision_realisee_en_J_apres_15h_distribution_publique;Prevision_realisee_en_J-5_SFM;Prevision_realisee_en_J-4_SFM;Prevision_realisee_en_J-3_SFM;Prevision_realisee_en_J-2_SFM; Prevision_realisee_en_J-1_avant_17h_SFM;Prevision_realisee_en_J-1_apres_17h_SFM;Prevision_realisee_en_J_avant_15h_SFM;Prevision_realisee_en_J_apres_15h_SFM;Prevision_realisee_en_J-5_PIRR;Prevision_realisee_en_J-4_PIRR;Prevision_realisee_en_J-3_PIRR;Prevision_realisee_en_J-2_PIRR; Prevision_realisee_en_J-1_avant_17h_PIRR;Prevision_realisee_en_J-1_apres_17h_PIRR;Prevision_realisee_en_J_avant_15h_PIRR;Prevision_realisee_en_J_apres_15h_PIRR;Prevision_expediteurs_J-1_14H;Prevision_expediteurs_J-1_16H;Prevision_expediteurs_J-1_18H;Prevision_expediteurs_J-1_20H;Prevision_expediteurs_J-1_21H;Prevision_expediteurs_J-1_22H;Prevision_expediteurs_J-1_23H;Prevision_expediteurs_J-1_00H;Prevision_expediteurs_J-1_01H;Prevision_expediteurs_J-1_02H;Prevision_expediteurs_J-1_03H;Prevision_expediteurs_J_04H;Prevision_expediteurs_J_05H;Prevision_expediteurs_J_06H;Prevision_expediteurs_J_07H;Prevision_expediteurs_J_08H;Prevision_expediteurs_J_09H;Prevision_expediteurs_J_10H;Prevision_expediteurs_J_11H;Prevision_expediteurs_J_12H;Prevision_expediteurs_J_13H;Prevision_expediteurs_J_14H;Prevision_expediteurs_J_15H;Prevision_expediteurs_J_16H;Prevision_expediteurs_J_17H;Prevision_expediteurs_J_18H;Prevision_expediteurs_J_19H;Prevision_expediteurs_J_20H;Prevision_expediteurs_J_21H;Prevision_expediteurs_J_22H;Prevision_expediteurs_J_23H;Prevision_expediteurs_J_00H;Prevision_expediteurs_J_01H;Prevision_expediteurs_J_02H;Prevision_expediteurs_J_03H;Temperature_moyenne
03/04/2016;"Toutes zones";959339798;300363926;644274312;12698132;2003428;1020324287;1011306048;933294603;957486513;1005225438;1076507288;944450105;940348801;296871212;294883525;296657966;294306959;317086511;372245804;300374980;298380176;697840028;689202390;623389973;647014200;677004425;694302569;632924450;625107826;16117984;17831868;3924858;6708210;6983603;3856399;5096958;10834560;9495063;9388265;9321806;9457144;4150899;6102516;6053717;6026239;978840009;981425585;994059612;996997188;997634804;997634804;998404804;998404804;998287148;998287148;998287148;998287148;998287148;998287148;998287148;1002766847;1002766847;1014018447;1014018447;1014808457;1035709699;1036860699;1030802855;1021208116;1018440857;1018363491;1013191490;1012503876;1012503876;1012503876;1012503876;1012408059;1012408059;1012408059;1012408059;
04/04/2016;"Toutes zones";1158764862;320245628;731529865;105042462;1946907;1070918729;1004450520;1167452172;1124639594;1161142345;1332432682;1143749950;1140399611;318929912;323879953;322786492;322594405;330855978;402692605;321668507;319051613;728115763;656095905;764571713;715955083;728260822;823172650;723989640;720975899;15199870;16335727;72062591;77290282;98197007;101074611;92452896;94734271;8673184;8138935;8031376;8799824;3828538;5492816;5638907;5637828;1198433134;1246887030;1230177431;1231170832;1234881485;1234838165;1234838165;1234838165;1234827508;1234827508;1234827508;1234827508;1234827508;1234827508;1234827509;1233298955;1227921410;1227062157;1227087439;1226986419;1217732456;1217790745;1238203578;1234903631;1225724229;;;1207206754;1199521384;1199521384;1199521384;1199661830;1199661830;1199661830;1199661830;
03/04/2016;"Nord B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/04/2016;"Nord B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/04/2016;"Nord H";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/04/2016;"Nord H";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/04/2016;Sud;277515647;87407030;187780455;466318;1861844;277833260;289466322;249769940;267100339;292282134;303624434;271066003;273800822;80899019;83761051;82437545;80685876;91433621;103429181;87386290;86299915;189384915;197288595;162620507;178620226;196434009;199252777;182725821;186437716;4254222;5259171;1645577;4666505;4414504;942476;953892;1063191;3295104;3157505;3066311;3127732;0;0;0;0;268586535;268299446;269021096;269268072;269222607;269222607;269762607;269762607;271980182;271980182;271980182;271980182;271980182;271980182;271980182;276459881;276459881;276602988;276602988;277335386;284391875;284636705;283576715;281921622;280748712;288529737;289137561;289015401;289015401;289015401;289015401;289205686;289205686;289205686;289205686;
04/04/2016;Sud;334663056;94341761;220869232;17508832;1943231;307112927;269710357;322370148;340221679;339623219;388557322;342004254;349410757;89635662;87729124;86076393;90670684;95323512;110570362;93564228;94674871;210303409;174231780;201071862;213178722;210911598;243804837;215785372;221302056;4145935;4935548;32462127;33360113;33388109;34182123;32654654;33433830;3027921;2813905;2759766;3012160;0;0;0;0;340231367;354286808;354256631;354546375;353888692;353845372;353845372;353845372;353844425;353844425;353844425;353844425;353844425;353844425;353844425;352315871;349619794;349619794;349619794;349619671;349068560;349126560;350199430;349126389;349989731;;;345753458;346744505;346744505;346744505;347432309;347432309;347432309;347432309;
03/04/2016;Nord;685547839;212956896;456493857;12231814;3865272;742491027;721839726;683524663;690386174;712943304;772882854;673384102;666547979;215972193;211122474;214220421;213621083;225652890;268816623;212988690;212080261;508455113;491913795;460769466;468393974;480570416;495049792;450198629;438670110;11863762;12572697;2279281;2041705;2569099;2913923;4143066;9771369;6199959;6230760;6255495;6329412;4150899;6102516;6053717;6026239;710253474;713126139;725038516;727729116;728412197;728412197;728642197;728642197;726306966;726306966;726306966;726306966;726306966;726306966;726306966;726306966;726306966;737415459;737415459;737473071;751317824;752223994;747226140;739286494;737692145;729833754;724053929;723488475;723488475;723488475;723488475;723202373;723202373;723202373;723202373;
04/04/2016;Nord;827988268;225903867;510660633;87533630;3890138;763805802;734740163;845082024;784417915;821519126;943875360;801745696;790988854;229294250;236150829;236710099;231923721;235532466;292122243;228104279;224376742;517812354;481864125;563499851;502776361;517349224;579367813;508204268;499673843;11053935;11400179;39600464;43930169;64808898;66892488;59798242;61300441;5645263;5325030;5271610;5787664;3828538;5492816;5638907;5637828;858201767;892600222;875920800;876624457;880992793;880992793;880992793;880992793;880983083;880983083;880983083;880983083;880983083;880983083;880983084;880983084;878301616;877442363;877467645;877366748;868663896;868664185;888004148;885777242;875734498;;;861453296;852776879;852776879;852776879;852229521;852229521;852229521;852229521;
