STATION,DATE,avg(TEMP)
7005,20130501,11.1125000000
7005,20130502,10.0625000000
7005,20130503,10.7125000000
7005,20130504,10.4500000000
7005,20130505,11.4625000000
7005,20130506,11.6750000000
7005,20130507,13.8000000000
7005,20130508,12.8750000000
7005,20130509,11.1750000000
7005,20130510,11.0875000000
7005,20130511,10.2250000000
7005,20130512,9.9750000000
7005,20130513,10.9250000000
7005,20130514,9.4125000000
7005,20130515,10.1750000000
7005,20130516,9.0750000000
7005,20130517,9.2428571429
7005,20130518,11.3375000000
7005,20130519,10.9875000000
7005,20130520,10.4375000000
7005,20130521,10.3750000000
7005,20130522,9.8000000000
7005,20130523,7.2875000000
7005,20130524,6.0250000000
7005,20130525,9.2250000000
7005,20130526,10.7000000000
7005,20130527,12.1125000000
7005,20130528,10.7625000000
7005,20130529,9.5000000000
7005,20130530,11.5625000000
7005,20130531,9.9000000000
7015,20130501,11.8500000000
7015,20130502,10.8375000000
7015,20130503,12.1875000000
7015,20130504,10.4875000000
7015,20130505,12.5375000000
7015,20130506,14.2750000000
7015,20130507,15.4875000000
7015,20130508,13.2375000000
7015,20130509,12.5750000000
7015,20130510,11.9875000000
7015,20130511,10.6875000000
7015,20130512,10.0000000000
7015,20130513,11.4875000000
7015,20130514,9.8750000000
7015,20130515,11.9125000000
7015,20130516,9.5000000000
7015,20130517,9.1250000000
7015,20130518,11.0500000000
7015,20130519,12.3000000000
7015,20130520,9.8625000000
7015,20130521,9.3125000000
7015,20130522,10.1571428571
7015,20130523,8.0250000000
7015,20130524,6.0500000000
7015,20130525,9.2375000000
7015,20130526,11.6000000000
7015,20130527,12.8500000000
7015,20130528,12.6375000000
7015,20130529,9.8125000000
7015,20130530,11.5125000000
7015,20130531,10.7000000000
7020,20130501,9.1125000000
7020,20130502,9.9875000000
7020,20130503,9.8875000000
7020,20130504,10.6000000000
7020,20130505,10.8875000000
7020,20130506,10.6500000000
7020,20130507,12.7375000000
7020,20130508,12.0875000000
7020,20130509,10.8125000000
7020,20130510,11.0375000000
7020,20130511,10.2375000000
7020,20130512,10.4000000000
7020,20130513,10.8500000000
7020,20130514,9.6500000000
7020,20130515,10.1875000000
7020,20130516,9.9625000000
7020,20130517,10.2125000000
7020,20130518,11.3375000000
7020,20130519,10.3750000000
7020,20130520,11.0375000000
7020,20130521,11.7000000000
7020,20130522,11.1000000000
7020,20130523,9.9625000000
7020,20130524,9.5000000000
7020,20130525,10.0250000000
7020,20130526,10.9571428571
7020,20130527,11.3500000000
7020,20130528,9.7250000000
7020,20130529,11.3375000000
