Date;Zone;Consommation_totale;Consommation_industrielle_(hors_SFM);Consommation_distribution_publique;Consommation_SFM;Consommation_PIRR;Prevision_realisee_en_J-5_prevision_totale_GRTgaz;Prevision_realisee_en_J-4_prevision_totale_GRTgaz;Prevision_realisee_en_J-3_prevision_totale_GRTgaz;Prevision_realisee_en_J-2_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_avant_17h_prevision_totale_GRTgaz;Prevision_realisee_en_J_avant_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J_apres_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J-5_indus_hors_SFM;Prevision_realisee_en_J-4_indus_hors_SFM;Prevision_realisee_en_J-3_indus_hors_SFM;Prevision_realisee_en_J-2_indus_hors_SFM;Prevision_realisee_en_J-1_avant_17h_indus_hors_SFM;Prevision_realisee_en_J-1_apres_17h_indus_hors_SFM;Prevision_realisee_en_J_avant_15h_indus_hors_SFM;Prevision_realisee_en_J_apres_15h_indus_hors_SFM;Prevision_realisee_en_J-5_distribution_publique;Prevision_realisee_en_J-4_distribution_publique;Prevision_realisee_en_J-3_distribution_publique;Prevision_realisee_en_J-2_distribution_publique; Prevision_realisee_en_J-1_avant_17h_distribution_publique;Prevision_realisee_en_J-1_apres_17h_distribution_publique;Prevision_realisee_en_J_avant_15h_distribution_publique;Prevision_realisee_en_J_apres_15h_distribution_publique;Prevision_realisee_en_J-5_SFM;Prevision_realisee_en_J-4_SFM;Prevision_realisee_en_J-3_SFM;Prevision_realisee_en_J-2_SFM; Prevision_realisee_en_J-1_avant_17h_SFM;Prevision_realisee_en_J-1_apres_17h_SFM;Prevision_realisee_en_J_avant_15h_SFM;Prevision_realisee_en_J_apres_15h_SFM;Prevision_realisee_en_J-5_PIRR;Prevision_realisee_en_J-4_PIRR;Prevision_realisee_en_J-3_PIRR;Prevision_realisee_en_J-2_PIRR; Prevision_realisee_en_J-1_avant_17h_PIRR;Prevision_realisee_en_J-1_apres_17h_PIRR;Prevision_realisee_en_J_avant_15h_PIRR;Prevision_realisee_en_J_apres_15h_PIRR;Prevision_expediteurs_J-1_14H;Prevision_expediteurs_J-1_16H;Prevision_expediteurs_J-1_18H;Prevision_expediteurs_J-1_20H;Prevision_expediteurs_J-1_21H;Prevision_expediteurs_J-1_22H;Prevision_expediteurs_J-1_23H;Prevision_expediteurs_J-1_00H;Prevision_expediteurs_J-1_01H;Prevision_expediteurs_J-1_02H;Prevision_expediteurs_J-1_03H;Prevision_expediteurs_J_04H;Prevision_expediteurs_J_05H;Prevision_expediteurs_J_06H;Prevision_expediteurs_J_07H;Prevision_expediteurs_J_08H;Prevision_expediteurs_J_09H;Prevision_expediteurs_J_10H;Prevision_expediteurs_J_11H;Prevision_expediteurs_J_12H;Prevision_expediteurs_J_13H;Prevision_expediteurs_J_14H;Prevision_expediteurs_J_15H;Prevision_expediteurs_J_16H;Prevision_expediteurs_J_17H;Prevision_expediteurs_J_18H;Prevision_expediteurs_J_19H;Prevision_expediteurs_J_20H;Prevision_expediteurs_J_21H;Prevision_expediteurs_J_22H;Prevision_expediteurs_J_23H;Prevision_expediteurs_J_00H;Prevision_expediteurs_J_01H;Prevision_expediteurs_J_02H;Prevision_expediteurs_J_03H;Temperature_moyenne
02/02/2016;"Toutes zones";1554200433;405658881;1099602064;47387496;1551992;1677943380;1649322345;1569048797;1570311219;1528294633;1535247742;1505825103;1545313614;427344428;425895290;415240241;415240221;403138179;403138172;390557450;403074356;1193594040;1169321572;1113075586;1113075444;1106678332;1106678372;1066167277;1090224797;37411966;34979310;22033286;22992627;12111312;18431222;42242955;45260509;19592946;19126173;18699684;19002927;6366810;6999976;6857421;6753952;1325580554;1339925974;;1550402306;1583804534;1583804534;1583804534;1583804534;1583804534;1583804534;1583804534;1583804534;1583804534;1583804534;1583804534;1583804534;1577890271;1574827202;1574827202;1576553050;1563323876;1561729849;1561170486;1559299057;1558357677;1560506062;1554476786;1554476786;1554476786;1544486786;1544486786;1544593219;1544923585;1544923585;1544923585;
03/02/2016;"Toutes zones";1842806909;435913315;1326257862;79401663;1234069;1821772188;1795508509;1854947988;1814430300;1768249271;1768006040;1799275598;1830094531;436649611;429834912;429834906;429834888;402120508;402120495;420440640;431643822;1310157427;1299418440;1299418477;1299418481;1266720252;1266720477;1284391922;1313774610;54006453;46151836;105750653;64686222;92302053;92120582;87469283;77807404;20958697;20103321;19943952;20490709;7106458;7044486;6973753;6868695;1706271450;1720916982;1711684233;1821104613;1790034614;1790034614;1790034614;1789508352;1789508352;1789508352;1789508352;1789508353;1790576353;1790576353;1790576353;1790059468;1785462957;1785462957;1785932817;1786036793;1785314868;1785413107;1754809608;1754515639;1759326851;1761120414;1768697154;1764306026;1764370026;1764370026;1763622026;1763866909;1763866909;1763866909;1763866909;
04/02/2016;"Toutes zones";1849362802;438985695;1302214033;105707290;2455784;1883997747;1875342721;1939694964;1832073111;1791453957;1791888683;1867733865;1843017063;430072697;430072701;430072709;408439928;420548956;420548968;434476179;437367294;1378288381;1378288320;1378288257;1286675717;1259427362;1259427302;1321668328;1292264460;53974628;45590416;109474073;115095032;103735438;104121436;103999876;105921464;21662041;21391284;21859925;21862434;7742201;7790977;7589482;7463845;1644269430;1713502293;1721599619;1820184436;1820329436;1820329436;1820552436;1820918494;1820918494;1820918494;1820918494;1820918494;1820918494;1820918494;1820918494;1820918494;1822797062;1823005868;1839086975;1839147202;1845057517;1851359671;1844605753;1839779630;1843791964;1842889324;1843167624;1846959877;1844740877;1844740877;1844369877;1844497939;1844497939;1844497939;1844497939;
05/02/2016;"Toutes zones";1660036850;417585783;1139117262;100311770;3022035;1729727351;1731324588;1671983736;1687347555;1718711129;1727364473;1624945319;1648462990;412784182;411641788;393408369;404859659;426847646;426847622;414244268;416788375;1261905355;1259781074;1166102139;1179211819;1191020223;1191020392;1106993457;1123973324;34411558;38777003;91559525;82172614;94353626;101979106;96333184;100466630;20626256;21124723;20913703;21103463;6489634;7517353;7374410;7234661;1421161718;1558662381;1654520797;1709528188;1710258188;1710258188;1710386188;1709931900;1709931900;1709931900;1709931900;1709931900;1709931900;1709931900;1709931900;1714250411;1714250411;1714250411;1703496308;1703496308;1703120407;1702912082;1719154211;1717280483;1721264690;1728019405;1722259573;1718935771;1718935771;1718935771;1718935771;1719057203;1720547203;1720547203;1720547203;
06/02/2016;"Toutes zones";1380078598;384941656;991798406;455733;2882803;1521288084;1486287645;1415476314;1437802320;1425590854;1426705717;1370746158;1374139333;394252074;378492112;380340569;391215193;384502939;384502945;379678705;383238812;1067849727;1049259145;1015130217;1026469532;1034260912;1034260930;983245630;983284346;39926958;39386903;702770;702770;463703;463703;433055;342070;19259325;19149485;19302758;19414825;6363300;7478139;7388768;7274105;1328082494;1409975780;1397690978;1420631300;1420631300;1420631300;1420631300;1417194455;1417194455;1417194455;1417194455;1417194455;1417194455;1417194455;1417194455;1415818286;1418024187;1421440286;1421440286;1421537715;1420344284;1394034919;1393986901;1388432396;1387656003;1385428749;1385478750;1386365162;1386365162;1385872232;1385872232;1385872232;1385008752;1385008752;1385008752;
07/02/2016;"Toutes zones";1488685953;394862003;1090423938;636479;2763533;1552448514;1559947080;1520238414;1477565190;1428867258;1429958939;1455683700;1480775679;380365920;386099043;389939390;383149912;380277811;380277814;386843576;392319769;1106170120;1115920891;1109902361;1074293614;1040878911;1040878932;1059980961;1079816844;46690070;38919141;1329467;1311420;1311420;1311420;1451564;1349085;19222404;19008005;19067196;18810244;6399116;7490773;7407599;7289981;1362573879;1358631299;1404694531;1405547931;1405547931;1405547931;1405547931;1405660206;1405660206;1405660206;1405660206;1405660206;1405660206;1405660206;1405660206;1404144068;1404144068;1407963089;1407963089;1407963613;1412782010;1412783864;1412054908;1429522390;1429446105;1425217545;1425217545;1424065806;1424065806;1426302029;1426302029;1427353173;1427353173;1427353173;1427353173;
08/02/2016;"Toutes zones";1655122457;424147681;1210652024;17363042;2959710;1702577495;1728938112;1640304703;1620442034;1572938929;1582647056;1627955672;1655386498;418092872;420558698;410514229;412674814;418380787;418380770;419267755;424094943;1219875009;1242651849;1179961594;1157593321;1146519231;1146519058;1184054753;1208323341;44872083;45979827;30190220;30193212;1850467;10429716;17429827;15824436;19737531;19747738;19638660;19980687;6188444;7317512;7203337;7143778;1547097671;1563645693;1576671323;1576671324;1576671324;1578003421;1578003421;1578003421;1576661324;1576661324;1576661324;1576661324;1576661324;1576661324;1576661324;1575408350;1572413956;1564371519;1564874184;1564977890;1566696462;1586156716;1587768226;1594567362;1594937903;1594145992;1600895353;1600895353;1600895353;1599262187;1599261268;1600406849;1600406849;1600406849;1600406849;
09/02/2016;"Toutes zones";1803409175;436288320;1317494665;46723181;2903009;1811890036;1755747048;1758283097;1710716113;1746190637;1743313317;1705409985;1730793959;435724872;427618692;428859176;424113168;438503428;438503432;424314959;433496307;1305697819;1259263120;1274183979;1232005841;1268162101;1268162207;1231694490;1244636188;50735262;48788651;35201001;35213431;33375261;29314609;42175731;45464942;19732083;20076585;20038941;19383673;6149847;7333069;7224805;7196522;1547435926;1617212859;1662810981;1715979810;1715979811;1715979811;1715979811;1715979811;1715979811;1716571393;1716571393;1716571393;1716571393;1716571393;1716571393;1718396204;1718396204;1720109786;1720109786;1720110160;1722118804;1741246088;1746919455;1747221339;1753987315;1760822291;1757962698;1758047698;1758047698;1757088424;1758588424;1758939886;1759625369;1759625369;1759625369;
10/02/2016;"Toutes zones";1982592270;448041019;1428395659;103786061;2369531;1852293445;1916874143;1936202318;1970997205;1899214794;1913662451;1997827489;1972979983;442437195;447437156;443006995;446394079;434043096;434043076;448513150;445843349;1330785641;1391344774;1382858094;1410169875;1357992142;1357992108;1433964403;1413719826;58177545;57619530;90498894;93499498;101001201;114261747;108010379;106167446;20893064;20472683;19838335;20933753;6178355;7365520;7339557;7249362;1562635937;1883540738;1922754829;1962031941;1962031941;1962031942;1962031942;1962031942;1962102230;1962102230;1962102230;1962102230;1962102230;1962102230;1962102230;1963088267;1963611359;1982859225;1982859225;1982938398;1981994336;1962090735;1960050743;1967455974;1965769885;1969441857;1973269251;1973269251;1973161251;1973161251;1973960648;1971561456;1971561456;1971561456;1971561456;
11/02/2016;"Toutes zones";2020289988;444248341;1425157489;142462260;8421898;1908126186;1898746488;2042417051;2024899196;2123556607;2136868163;2073524271;2022086936;447567358;444247392;452416786;442766535;442335414;442335421;439736220;441366595;1379389785;1368967019;1461009366;1457512816;1495568598;1495568291;1442248451;1414315507;59609860;63976511;107022954;102284833;179163796;180396453;172839620;147849380;21559183;21555566;21967945;22335012;6488799;18567998;18699980;18555454;1937261745;2043339645;2053460348;2110177254;2110467254;2109784254;2109784254;2109784255;2109784255;2110284545;2110284545;2110284545;2109522545;2109522545;2109522545;2115682116;2115682116;2112124302;2112124302;2111674302;2092998989;2092998577;2091915492;2081857340;2079976001;2076503146;2079551595;2073988623;2073988623;2073631387;2073511740;2073511740;2073595299;2073595299;2073595299;
