Date;Zone;Consommation_totale;Consommation_industrielle_(hors_SFM);Consommation_distribution_publique;Consommation_SFM;Consommation_PIRR;Prevision_realisee_en_J-5_prevision_totale_GRTgaz;Prevision_realisee_en_J-4_prevision_totale_GRTgaz;Prevision_realisee_en_J-3_prevision_totale_GRTgaz;Prevision_realisee_en_J-2_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_prevision_totale_GRTgaz;Prevision_realisee_en_J-1_avant_17h_prevision_totale_GRTgaz;Prevision_realisee_en_J_avant_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J_apres_15h_prevision_totale_GRTgaz;Prevision_realisee_en_J-5_indus_hors_SFM;Prevision_realisee_en_J-4_indus_hors_SFM;Prevision_realisee_en_J-3_indus_hors_SFM;Prevision_realisee_en_J-2_indus_hors_SFM;Prevision_realisee_en_J-1_avant_17h_indus_hors_SFM;Prevision_realisee_en_J-1_apres_17h_indus_hors_SFM;Prevision_realisee_en_J_avant_15h_indus_hors_SFM;Prevision_realisee_en_J_apres_15h_indus_hors_SFM;Prevision_realisee_en_J-5_distribution_publique;Prevision_realisee_en_J-4_distribution_publique;Prevision_realisee_en_J-3_distribution_publique;Prevision_realisee_en_J-2_distribution_publique; Prevision_realisee_en_J-1_avant_17h_distribution_publique;Prevision_realisee_en_J-1_apres_17h_distribution_publique;Prevision_realisee_en_J_avant_15h_distribution_publique;Prevision_realisee_en_J_apres_15h_distribution_publique;Prevision_realisee_en_J-5_SFM;Prevision_realisee_en_J-4_SFM;Prevision_realisee_en_J-3_SFM;Prevision_realisee_en_J-2_SFM; Prevision_realisee_en_J-1_avant_17h_SFM;Prevision_realisee_en_J-1_apres_17h_SFM;Prevision_realisee_en_J_avant_15h_SFM;Prevision_realisee_en_J_apres_15h_SFM;Prevision_realisee_en_J-5_PIRR;Prevision_realisee_en_J-4_PIRR;Prevision_realisee_en_J-3_PIRR;Prevision_realisee_en_J-2_PIRR; Prevision_realisee_en_J-1_avant_17h_PIRR;Prevision_realisee_en_J-1_apres_17h_PIRR;Prevision_realisee_en_J_avant_15h_PIRR;Prevision_realisee_en_J_apres_15h_PIRR;Prevision_expediteurs_J-1_14H;Prevision_expediteurs_J-1_16H;Prevision_expediteurs_J-1_18H;Prevision_expediteurs_J-1_20H;Prevision_expediteurs_J-1_21H;Prevision_expediteurs_J-1_22H;Prevision_expediteurs_J-1_23H;Prevision_expediteurs_J-1_00H;Prevision_expediteurs_J-1_01H;Prevision_expediteurs_J-1_02H;Prevision_expediteurs_J-1_03H;Prevision_expediteurs_J_04H;Prevision_expediteurs_J_05H;Prevision_expediteurs_J_06H;Prevision_expediteurs_J_07H;Prevision_expediteurs_J_08H;Prevision_expediteurs_J_09H;Prevision_expediteurs_J_10H;Prevision_expediteurs_J_11H;Prevision_expediteurs_J_12H;Prevision_expediteurs_J_13H;Prevision_expediteurs_J_14H;Prevision_expediteurs_J_15H;Prevision_expediteurs_J_16H;Prevision_expediteurs_J_17H;Prevision_expediteurs_J_18H;Prevision_expediteurs_J_19H;Prevision_expediteurs_J_20H;Prevision_expediteurs_J_21H;Prevision_expediteurs_J_22H;Prevision_expediteurs_J_23H;Prevision_expediteurs_J_00H;Prevision_expediteurs_J_01H;Prevision_expediteurs_J_02H;Prevision_expediteurs_J_03H;Temperature_moyenne
01/01/2016;"Toutes zones";1393623329;332566520;1058721970;260117;2074722;6022922611;1636307345;1629667346;1601508165;1525727059;1526923142;1401823100;1391790175;1175479159;372332286;361354691;361717497;335584994;335584987;322556988;325129553;4847443452;1234835245;1240690105;1208289180;1160856731;1160856585;1057354296;1054852097;;11945227;10794118;13989121;12022789;12980643;6862370;894614;;17194587;16828432;17512367;17262545;17500927;15049446;10913911;1293305848;1395661342;1384991964;1383685289;1383685289;1370685289;1370685289;1370525250;1370525250;1370525250;1370525250;1370525250;1370525250;1370525250;1370525250;1370525250;1371281515;1385633574;1385633574;1385284499;1385387418;1394108045;1394160157;1392699958;1386273210;1373536210;1370536210;1371203075;1372272584;1372272584;1372272584;1372721584;1372721584;1372721584;1372721584;
02/01/2016;"Toutes zones";1394661869;346987755;1042709462;3000444;1964208;1653778002;1607620610;1494961361;1407652931;1333877734;1334606008;1364182128;1403352383;381572823;370398559;358977650;348842073;311867838;311867840;325928667;343476856;1234241094;1202234889;1102913259;1028055940;990182875;990183021;1017917817;1045922669;19605437;17112394;15470889;13151589;14356909;15043588;5552644;3797467;18358648;17874768;17599563;17603329;17470112;17511559;14783000;10155391;1361610558;1356494475;1347945783;1349540544;1349540545;1349540545;1349540545;1349540545;1349540545;1349540545;1349540545;1349540545;1349540545;1349540545;1349540545;1347335407;1344510057;1344510057;1341101551;1341112232;1345517232;1351283317;1351033325;1351293307;1357033189;1355033189;1355211021;1355211021;1355247090;1355247090;1354677013;1356352419;1356666177;1356666177;1356666177;
03/01/2016;"Toutes zones";1509723865;365183025;1139476469;3236618;1827753;1642925892;1628194610;1497999023;1493499457;1461995431;1462891220;1480218536;1506696244;381615763;380655762;365290051;352252509;330313759;330313782;355529270;362249390;1223759224;1217575659;1104969700;1112880538;1102791292;1102791394;1104575583;1130289823;19574775;13175281;10856794;11188976;11579782;12390719;5241642;3372673;17976130;16787908;16882478;17177434;17310598;17395325;14872041;10784358;1372654781;1378012716;1387464709;1390888291;1390888291;1390888291;1397028044;1399721161;1399431735;1399431735;1399431735;1399431735;1399431735;1399431735;1399431735;1398802438;1398802438;1398802438;1401022209;1401065839;1415595815;1415595815;1420092096;1426021053;1425062965;1425798507;1425655754;1425655754;1425766005;1425766005;1426737346;1426737346;1426737346;1426737346;1426737346;
04/01/2016;"Toutes zones";1787963499;413503488;1251900921;120828250;1730840;1782378448;1715312626;1670457867;1631054956;1669757878;1674811661;1738196149;1790855447;411465041;404060403;387386379;375717488;398812281;398812304;402320995;408947374;1319716553;1262667919;1235295639;1208452476;1224037269;1224037290;1229933876;1244610114;31837854;29232922;28637908;27698465;27722912;32803396;89166494;125394406;19359000;19351382;19137941;19186527;19185416;19158671;16774784;11903553;1574312519;1566510415;1573301919;1596539271;1597624682;1597624682;1597624682;1655047989;1655047989;1655047989;1655047989;1655047989;1655047989;1655047989;1655047989;1655047989;1656236497;1663271708;1670068365;1670074482;1663376347;1691722158;1710713014;1714615150;1717493842;1737810658;1750121617;1749941803;1749941803;1754974482;1754974482;1754974482;1757944482;1757944482;1754566299;
05/01/2016;"Toutes zones";1845170659;423552359;1276118675;138922181;6577444;1845560445;1789824148;1685830387;1693660606;1738573285;1742823168;1803096010;1845457849;417417790;404658567;392389294;409516101;416369161;416369168;415748275;419407599;1366447313;1329383881;1243488775;1231098019;1268509594;1268509569;1265716687;1271599754;41767916;36369683;30946774;34004033;34599156;38700889;104812094;142408591;19927426;19412017;19005544;19042453;19095374;19243542;16818954;12041905;1528336536;1672509241;1673269492;1766121489;1766841489;1766841489;1766841489;1772498147;1772234147;1772234148;1772234148;1772234148;1772234148;1772234148;1772234148;1772234148;1774773222;1779821242;1786189801;1785578999;1787306552;1788311542;1790310040;1798157482;1799516731;1804415428;1812387965;1811239830;1811750131;1811746711;1813918711;1813918711;1817318711;1817318711;1817318711;
06/01/2016;"Toutes zones";1834435748;430647046;1268914125;128797761;6076816;1842276637;1790265876;1776165224;1768102570;1776693716;1779198884;1790429215;1824839754;412287027;407788942;421714492;422557614;423940876;423940860;410704025;421376236;1369494561;1327144808;1299622585;1289428437;1293456669;1293456637;1265967921;1262073151;40272383;35743409;35649535;36565124;39610908;42081224;96695130;128901644;20222666;19588717;19178612;19551395;19685263;19720163;17062139;12488723;1617973606;1688427335;1704776232;1822378673;1809803608;1809803611;1809803611;1809803611;1809972582;1809972582;1809972582;1809972582;1809972582;1809972582;1809972582;1811762679;1814822081;1828850541;1828850541;1830601721;1830601721;1832070980;1833916639;1836188302;1836550642;1835352290;1836231702;1836001702;1836001702;1836459702;1836459702;1836029758;1836029758;1836029758;1836541508;
07/01/2016;"Toutes zones";1845378170;440929023;1275471471;122706214;6271462;1738393614;1712388187;1760008735;1691683407;1750321603;1752493475;1823067691;1838215566;397230341;409663063;417714462;415721573;428986971;428986947;431813188;433991285;1286467236;1249090357;1291477185;1222400641;1264854154;1264854213;1257247820;1271189527;35075682;34363147;31602605;33917180;36642510;38997589;126653768;125671590;19620355;19271620;19214483;19644013;19837968;19654726;7352915;7363164;1614087423;1697746191;1712050214;1799298070;1799118070;1799118070;1799118070;1803115654;1803115654;1803115654;1802945751;1802681754;1802681754;1802681754;1797140754;1801236674;1801236674;1796945893;1797015712;1797253565;1797561701;1797556051;1800098612;1798926191;1805736774;1803630306;1806901841;1802711841;1802421354;1803570681;1808449681;1802712681;1802712681;1803248797;1803248797;
08/01/2016;"Toutes zones";1799566302;435869710;1254209764;108152740;1334088;1722101311;1774850758;1708689318;1765743406;1827648607;1839721581;1822926674;1799388863;404303884;413927251;411422695;415839541;423637264;423637262;430059179;432051579;1267930423;1313048748;1245960464;1293611341;1304506048;1304506083;1277554164;1256457006;30906702;28928113;32336118;37388393;94338578;104468694;108196149;103771545;18960302;18946646;18970041;18904131;5166717;7109542;7117182;7108733;1680992386;1685110579;1693474010;1795541598;1795541598;1795356598;1798813598;1795932599;1795752503;1795752503;1795752250;1795752250;1795752250;1795752250;1795752250;1798382539;1804803197;1807199308;1804297815;1804297815;1821072746;1822521154;1825026120;1821933046;1821994933;1830854178;1832528711;1832528711;1833088711;1833088711;1833088711;1833348365;1833350839;1833350839;1833350839;
09/01/2016;"Toutes zones";1498937152;400859448;1096300114;195953;1581637;1621417665;1591575571;1591556713;1569321005;1553883117;1555762781;1498124187;1493615053;394844316;393574026;393530700;397127141;399003971;399003996;392558334;396709505;1200892400;1171759166;1170331674;1151346635;1149213287;1149213294;1098038000;1089441226;8746391;10064716;11115918;4651406;384015;384015;330889;227917;16934558;16177663;16578421;16195823;5281844;7161476;7196964;7236405;1313686884;1497812983;1518051305;1542541513;1542041513;1542291513;1542291513;1542291513;1542256308;1542256308;1542256308;1542256308;1542256308;1542256308;1542256308;1539396895;1539396895;1539396895;1539396895;1540110917;1540110917;1540110917;1521655528;1521887563;1521404176;1515429614;1515078640;1515078640;1514250382;1514230382;1513332221;1507631969;1507635507;1507635507;1507635507;
10/01/2016;"Toutes zones";1564489413;404594876;1156498395;1965951;1430191;1570398367;1606323679;1567280211;1592565372;1539220078;1539172859;1534451298;1559570943;397922812;399697501;400018775;407514496;395521870;395521890;395536233;399428083;1149522635;1181977002;1149455518;1167452633;1134708835;1134708971;1129121436;1150037483;6608798;8186090;1556970;1242909;1377181;1377181;2248548;2531356;16344122;16463086;16248948;16355334;7612192;7564817;7545081;7574021;1512787345;1514058369;1524122475;1519441578;1519698298;1519698298;1520524395;1520524395;1520420144;1520420144;1520420144;1520497697;1520497697;1520497697;1520497697;1515908079;1515908079;1515908079;1515908079;1505195788;1505195788;1515529379;1510642320;1524530396;1525815150;1518700235;1515280235;1514916270;1514916270;1514916270;1514916270;1514639743;1514852273;1514852273;1514852273;
